e,n,v
0,4,1
0,4,1
0,5,1
1,5,0
1,5,0
1,4,1
2,4,1
2,4,2
2,3,2
2,3,3
3,3,4
3,2,4
3,2,5
4,2,5
4,2,6
4,1,7
5,1,7
5,1,8
5,0,9
5,0,9
5,0,10
5,0,8
5,0,7
5,0,6
5,0,4
5,0,3
5,0,1
5,0,0
5,0,-1
5,0,-3
5,0,-4
5,0,-6
5,0,-7
5,0,-8
5,0,-10
5,0,-9
5,0,-8
5,0,-7
5,0,-6
5,0,-5
5,0,-4
5,0,-4
5,0,-3
5,0,-2
5,0,-1
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
4,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,-1
0,0,-1
0,0,-1
0,0,-2
1,0,-2
1,0,-2
1,1,-2
2,1,-3
2,1,-3
2,2,-3
2,2,-4
3,2,-4
3,2,-4
3,3,-5
4,3,-5
4,3,-4
4,4,-4
5,4,-3
5,4,-2
5,5,-2
5,5,-1
5,5,-1
5,5,0
5,5,1
5,5,1
5,5,2
5,5,2
5,5,3
5,5,4
5,5,4
5,5,5
5,5,5
5,5,4
5,5,4
5,5,4
5,5,3
5,5,3
5,5,3
5,4,2
5,4,2
5,4,2
5,3,2
5,3,1
5,3,1
5,2,1
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
4,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,1,0
2,1,0
2,1,0
2,2,0
2,2,0
3,2,0
3,2,0
3,3,0
4,3,0
4,3,0
4,4,-1
5,4,-1
5,4,-1
5,5,-2
5,5,-2
5,5,-2
5,4,-2
5,4,-3
5,4,-3
5,3,-3
5,3,-4
5,3,-4
5,2,-4
5,2,-5
5,2,-5
5,2,-4
5,1,-3
5,1,-2
5,1,-1
5,0,0
5,0,1
5,0,2
5,0,2
5,0,3
5,0,4
5,0,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,9
5,0,8
5,0,8
5,0,7
5,0,6
5,0,6
5,0,5
5,1,4
5,1,3
5,1,3
5,2,2
5,2,1
5,2,1
5,2,0
5,3,0
5,3,0
5,3,0
5,4,0
5,4,0
5,4,0
5,5,0
5,5,0
5,5,0
5,4,0
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,0
5,2,-1
5,2,-1
5,2,-2
5,1,-2
5,1,-3
5,1,-4
5,0,-4
5,0,-5
6,0,-5
6,-1,-6
6,-1,-7
7,-1,-7
7,-2,-8
7,-2,-9
8,-2,-9
8,-2,-10
8,-3,-9
9,-3,-8
9,-3,-7
9,-4,-6
9,-4,-5
10,-4,-4
9,-5,-4
9,-5,-3
9,-5,-2
9,-4,-1
8,-4,0
8,-4,0
8,-3,0
7,-3,0
7,-3,0
7,-2,0
6,-2,0
6,-2,0
6,-2,0
5,-1,0
5,-1,0
5,-1,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,-1,0
5,-1,0
5,-1,0
5,-2,0
5,-2,0
5,-2,0
5,-2,0
5,-3,0
5,-3,0
5,-3,0
5,-4,0
5,-4,0
5,-4,0
5,-5,0
5,-5,0
5,-4,0
5,-4,0
5,-3,0
5,-2,0
5,-2,0
5,-1,0
5,-1,0
5,0,0
5,1,0
5,1,0
5,2,0
5,2,0
5,3,0
5,4,0
5,4,0
5,5,0
5,5,0
5,4,0
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,0
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
5,0,0
5,0,0
5,1,0
5,1,0
5,1,0
5,2,0
5,2,0
5,2,0
5,2,0
5,3,0
5,3,0
5,3,0
5,4,0
5,4,0
5,4,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,-1
5,5,-1
5,5,-1
5,5,-2
5,5,-2
5,5,-2
5,5,-2
5,5,-3
5,5,-3
5,5,-3
5,5,-4
5,5,-4
6,5,-4
6,4,-5
6,4,-5
7,4,-5
7,3,-6
7,3,-7
8,3,-7
8,2,-8
8,2,-9
9,2,-9
9,2,-10
9,1,-10
9,1,-11
10,1,-12
9,0,-12
9,0,-13
9,0,-13
9,1,-14
8,1,-15
8,1,-14
8,2,-13
7,2,-12
7,2,-11
7,2,-10
6,3,-9
6,3,-8
6,3,-7
5,4,-6
5,4,-5
5,4,-5
5,5,-4
5,5,-3
5,5,-2
5,4,-1
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,0
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
5,0,0
5,0,0
5,1,0
5,1,0
5,1,0
5,2,0
5,2,0
5,2,0
5,2,0
5,3,0
5,3,0
5,3,0
5,4,0
5,4,0
5,4,0
5,5,0
5,5,0
6,5,0
6,5,0
6,5,0
7,5,0
7,5,0
7,5,0
8,5,0
8,5,0
8,5,0
9,5,0
9,5,0
9,5,0
9,5,0
10,5,0
9,5,0
9,5,0
9,4,0
9,4,0
8,3,0
8,2,1
8,2,1
7,1,2
7,1,2
7,0,3
6,-1,4
6,-1,4
6,-2,5
5,-2,5
5,-3,6
5,-4,7
5,-4,7
5,-5,8
5,-4,9
5,-3,9
5,-3,10
5,-2,9
5,-1,9
5,-1,8
5,0,8
5,1,8
5,1,7
5,2,7
5,3,6
5,3,6
5,4,5
5,5,5
0,0,-5
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
4,1,0
4,1,0
4,1,0
3,2,0
3,2,0
3,2,0
2,2,0
2,3,0
2,3,0
2,3,0
1,4,0
1,4,0
1,4,0
0,5,0
0,5,0
0,4,0
1,3,0
1,2,0
1,1,0
2,0,0
2,-1,0
2,-2,0
2,-2,0
3,-3,0
3,-4,0
3,-5,0
4,-6,0
4,-7,0
4,-8,0
5,-9,0
5,-10,0
5,-9,0
5,-8,0
5,-7,0
5,-6,0
5,-5,0
5,-4,0
5,-3,0
5,-2,0
5,-1,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,5,0
5,4,0
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,0
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
5,0,0
5,0,0
5,0,0
4,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,-1
1,0,-2
1,0,-2
1,0,-3
2,0,-4
2,0,-5
2,0,-5
2,0,-6
3,0,-7
3,0,-8
3,0,-8
4,0,-9
4,0,-10
4,0,-9
5,0,-9
5,0,-8
5,1,-7
5,1,-7
5,1,-6
5,2,-5
5,2,-5
5,2,-4
5,2,-4
5,3,-3
5,3,-2
5,3,-2
5,4,-1
5,4,-1
5,4,0
5,5,0
5,5,-1
5,5,-1
5,4,-1
5,4,-2
5,4,-2
5,3,-2
5,3,-2
5,3,-3
5,2,-3
5,2,-3
5,2,-4
5,2,-4
5,1,-4
5,1,-5
5,1,-5
5,0,-5
5,0,-4
5,0,-4
5,1,-4
4,1,-3
4,1,-3
4,2,-3
3,2,-2
3,2,-2
3,2,-2
2,3,-2
2,3,-1
2,3,-1
2,4,-1
1,4,0
1,4,0
1,5,0
0,5,0
0,5,0
1,5,0
1,5,0
2,5,0
2,5,0
3,5,0
4,5,0
4,5,0
5,5,0
5,5,0
6,5,0
7,5,0
7,5,0
8,5,0
9,5,0
9,5,-1
10,5,-1
9,4,-1
9,4,-2
8,4,-2
7,3,-2
7,3,-2
6,3,-3
5,2,-3
5,2,-3
4,2,-4
4,2,-4
3,1,-4
2,1,-5
2,1,-5
1,0,-5
1,0,-4
0,0,-4
0,1,-4
1,1,-3
1,1,-3
1,2,-3
2,2,-2
2,2,-2
2,2,-2
2,3,-2
3,3,-1
3,3,-1
3,4,-1
4,4,0
4,4,0
4,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,4,0
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,0
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
7,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,0
9,0,0
9,0,0
9,0,0
9,0,0
10,0,0
9,0,0
9,0,0
9,0,0
9,0,0
8,0,0
8,0,0
8,0,0
7,0,0
7,0,0
7,0,0
6,0,0
6,0,0
6,0,0
5,0,0
5,0,0
5,0,0
5,1,0
5,1,0
5,1,0
5,2,0
5,2,0
5,2,0
5,2,0
5,3,0
5,3,0
5,3,0
5,4,0
5,4,0
5,4,0
5,5,0
5,5,0
5,5,0
5,4,0
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,0
5,2,0
5,2,0
5,2,0
5,1,0
5,1,0
5,1,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,1,0
4,1,0
4,1,0
4,2,0
3,2,0
3,2,0
3,2,0
2,3,0
2,3,0
2,3,0
2,4,0
1,4,0
1,4,0
1,5,0
0,5,-1
0,4,-1
0,4,-1
1,3,-2
1,2,-2
1,2,-2
2,1,-2
2,1,-3
2,0,-3
2,-1,-3
3,-1,-4
3,-2,-4
3,-2,-4
4,-3,-5
4,-4,-5
4,-4,-5
5,-5,-5
5,-4,-5
5,-4,-5
5,-3,-5
5,-2,-5
5,-2,-5
5,-1,-5
5,-1,-5
5,0,-5
5,1,-5
5,1,-5
5,2,-5
5,2,-5
5,3,-4
5,4,-4
5,4,-4
5,5,-3
5,5,-3
5,5,-3
5,5,-2
5,5,-2
5,5,-2
5,5,-2
5,5,-1
5,5,-1
5,5,-1
5,5,0
5,5,0
5,5,0
5,5,-1
5,5,-1
5,5,-1
5,5,-2
5,4,-2
5,4,-2
5,3,-2
5,2,-3
5,2,-3
5,1,-3
5,1,-4
5,0,-4
5,-1,-4
5,-1,-5
5,-2,-5
5,-2,-5
5,-3,-4
5,-4,-4
5,-4,-4
5,-5,-3
5,-5,-3
5,-4,-3
5,-4,-2
5,-4,-2
5,-3,-2
5,-3,-2
5,-3,-1
5,-2,-1
5,-2,-1
5,-2,0
5,-2,0
5,-1,0
5,-1,0
5,-1,0
5,0,0
5,0,0
5,0,0
5,1,0
5,1,0
5,1,0
5,2,0
5,2,0
5,2,0
5,2,0
5,3,0
5,3,0
5,3,0
5,4,0
5,4,0
5,4,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,-1
5,5,-1
5,5,-1
5,5,-2
5,5,-2
5,4,-2
5,4,-2
5,4,-3
5,3,-3
5,3,-3
5,3,-4
5,2,-4
5,2,-4
5,2,-5
5,2,-5
5,1,-5
5,1,-4
5,1,-4
5,0,-4
5,0,-3
5,0,-3
5,0,-3
5,0,-2
5,0,-2
5,0,-2
5,0,-2
5,0,-1
5,0,-1
5,0,-1
5,0,0
5,0,0
5,0,0
5,0,-1
5,0,-1
5,0,-1
5,0,-2
5,0,-2
5,0,-2
5,0,-2
5,0,-3
5,0,-3
5,0,-3
5,0,-4
5,0,-4
5,0,-4
5,0,-5
5,0,-5
5,0,-5
5,0,-5
5,0,-6
5,0,-6
5,0,-6
5,-3,-7
5,-6,-7
5,-9,-7
5,-12,-8
5,-15,-8
5,-18,-8
5,-21,-9
5,-24,-9
5,-27,-9
5,-31,-9
5,-34,-10
5,-37,-9
5,-40,-9
5,-43,-8
5,-46,-7
5,-49,-7
5,-39,-6
5,-29,-5
5,-20,-5
5,-10,-4
5,0,-4
5,0,-3
5,1,-2
5,1,-2
5,1,-1
5,2,-1
5,2,0
5,2,0
5,2,0
5,3,0
5,3,0
5,3,0
5,4,0
5,4,0
5,4,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,4,0
5,4,0
5,3,0
5,2,0
5,2,0
5,1,0
5,1,0
5,0,0
5,-1,0
5,-1,0
5,-2,0
5,-2,0
5,-3,0
5,-4,0
5,-4,0
5,-5,0
5,-4,0
5,-4,0
5,-3,0
5,-2,0
5,-2,0
5,-1,0
5,-1,0
5,0,0
5,1,0
5,1,0
5,2,0
5,2,0
5,3,0
5,4,0
5,4,0
5,5,0
5,5,0
5,4,0
5,4,0
5,4,0
5,3,0
5,3,0
5,3,0
5,2,-1
5,2,-1
5,2,-1
5,2,-2
5,1,-2
5,1,-2
5,1,-2
5,0,-3
5,0,-3
5,0,-3
5,1,-4
5,1,-4
5,1,-4
5,2,-5
5,2,-5
5,2,-5
5,2,-4
5,3,-4
5,3,-4
5,3,-3
5,4,-3
5,4,-3
5,4,-2
5,5,-2
5,5,-2
5,5,-2
5,5,-1
5,5,-1
5,5,-1
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
6,5,0
6,5,0
6,5,0
7,5,0
7,5,0
7,5,0
8,5,0
8,5,0
8,5,0
9,5,-1
9,5,-1
9,5,-1
9,5,-2
10,5,-2
9,5,-2
9,5,-2
9,5,-3
9,5,-3
8,5,-3
8,4,-4
8,4,-4
7,4,-4
7,3,-5
7,3,-5
6,3,-4
6,2,-4
6,2,-3
5,2,-2
5,2,-2
5,1,-1
5,1,-1
4,1,0
4,0,1
4,0,1
3,0,2
3,-1,2
3,-1,3
2,-1,4
2,-2,4
2,-2,5
2,-2,4
1,-2,4
1,-3,3
1,-3,3
0,-3,2
0,-4,2
0,-4,1
1,-4,1
1,-5,0
1,-5,0
2,-5,0
2,-4,1
2,-4,1
2,-4,1
3,-3,2
3,-3,2
3,-3,2
4,-2,2
4,-2,3
4,-2,3
5,-2,3
5,-1,4
5,-1,4
5,-1,4
5,0,5
5,0,5
5,0,4
5,1,4
5,1,3
5,1,2
5,2,2
5,2,1
5,2,1
5,2,0
5,3,-1
5,3,-1
5,3,-2
5,4,-2
5,4,-3
5,4,-4
5,5,-4
5,5,-5
5,5,-4
5,5,-2
5,5,-1
5,5,0
5,5,1
5,5,2
5,5,4
5,5,5
5,5,6
5,5,7
5,5,9
5,5,10
5,5,11
6,5,12
7,4,13
7,4,15
8,3,13
9,2,12
9,2,11
10,1,10
10,1,9
11,0,7
12,-1,6
12,-1,5
13,-2,4
13,-2,2
14,-3,1
15,-4,0
12,-4,-1
9,-5,-2
6,-4,-4
4,-2,-5
1,-1,27
-2,0,59
-5,1,90
-7,2,122
-10,4,107
-13,5,92
-16,6,77
-18,7,62
-21,9,47
-24,10,32
-27,11,17
-29,12,2
-30,13,-13
-30,15,-28
-30,10,-43
-31,6,-58
-31,2,-73
-31,-2,-44
-31,-7,-15
-32,-11,15
-32,-15,5
-32,-20,-5
-33,-24,-15
-33,-28,-24
-33,-32,-13
-34,-37,-2
-34,-41,9
-34,-45,20
-24,-49,7
-15,-54,-5
-5,-49,-17
5,-44,-29
7,-39,-15
10,-34,-1
12,-29,13
15,-24,27
11,-20,41
8,-15,55
5,-10,69
2,-5,84
-2,0,98
-5,5,132
-10,15,166
-5,20,190
-4,20,164
-3,21,138
-2,21,112
-2,22,86
-1,23,60
0,23,34
-21,24,-4
-41,24,-42
-62,25,-79
-82,26,-117
-103,26,-100
-84,27,-83
-65,27,-67
-46,28,-50
-27,29,-33
-8,29,-16
11,26,1
30,23,18
49,20,35
68,17,51
56,14,68
43,11,3
31,8,-62
18,5,-127
6,2,-182
-7,-1,-238
-20,-4,-293
-14,-7,-266
-8,-10,-239
-2,-13,-212
4,-16,-186
10,-20,-99
16,-27,-12
22,-35,75
28,-43,162
34,-50,249
30,-58,206
26,-66,163
22,-73,120
18,-64,77
14,-54,34
10,-45,8
6,-35,-19
2,-26,-45
-2,-16,-71
-5,-7,-98
-9,2,-48
-13,12,1
-17,21,51
-21,31,100
-25,40,150
-29,50,199
-28,59,249
-26,69,207
-25,78,165
-23,75,123
-22,72,81
-20,68,39
-19,65,-29
-17,62,-98
-16,59,-166
-14,57,-136
-13,55,-105
-11,53,-75
-9,51,-45
-8,50,-15
-6,48,59
-5,46,132
4,44,205
13,43,278
22,41,218
31,39,157
40,33,97
49,27,37
37,21,-24
24,16,-84
12,10,-145
0,11,-205
-5,11,-168
-10,12,-131
-15,13,-94
-20,14,-57
-15,15,-20
-10,0,6
-5,-15,32
0,-29,57
-2,-44,83
-3,-59,74
-5,-73,66
-7,-71,57
-8,-68,49
-10,-66,-15
-8,-63,-78
-5,-61,-142
-3,-59,-205
-1,-56,-166
1,-54,-127
3,-51,-88
5,-49,-49
7,-46,4
9,-44,56
12,-42,109
14,-39,161
16,-37,115
18,-34,68
20,-20,22
22,-5,-24
24,10,-104
27,24,-183
29,10,-262
32,-5,-342
34,-20,-290
37,-34,-238
39,-49,-186
24,-44,-88
10,-38,10
-5,-33,107
-20,-28,205
-34,-23,303
-17,-18,271
0,-13,240
17,-7,209
34,-2,178
33,3,146
32,8,80
31,13,14
29,19,-53
28,24,-119
27,29,-186
26,34,-138
24,43,-90
23,52,-42
22,61,7
21,70,55
20,79,103
18,88,143
17,81,184
16,73,225
15,66,184
12,59,144
9,56,104
5,53,63
2,50,-29
-1,47,-122
-4,44,-215
-7,41,-173
-10,38,-130
-13,35,-88
-16,32,12
-19,29,112
-22,39,212
-25,49,313
-28,59,288
-31,68,264
-34,68,239
-22,68,215
-10,68,106
2,45,-3
15,22,-112
27,-1,-221
39,-24,-330
21,-5,-439
3,15,-371
-15,34,-303
-21,-9,-125
-27,-51,54
-33,-94,61
-39,-137,68
-35,-120,76
-31,-103,83
-27,-85,225
-22,-68,366
-18,-51,330
-14,-34,293
-10,-36,143
-10,-38,-7
-10,-40,-157
-10,-42,-308
6,-44,-306
22,-44,-304
38,-44,-303
54,-44,-240
31,-44,-177
7,-44,-114
-16,-29,-51
-39,-15,12
13,0,74
66,23,137
118,46,200
171,68,131
130,27,61
89,-15,-9
48,-56,-78
7,-98,-98
-34,-74,-117
-5,-51,-137
24,-28,-152
54,-5,-168
7,-16,-184
-39,-28,-199
-85,-39,-215
-132,-22,-133
-116,-5,-52
-101,12,29
-85,29,166
-70,15,303
-55,0,254
-39,-15,205
-24,-16,156
-8,-17,183
7,-18,210
23,-19,74
38,-20,-61
54,24,-197
-15,68,-332
-83,112,-301
-151,60,-270
-126,7,-238
-102,-45,-207
-77,-98,-176
-52,-52,-120
-27,-7,-65
-2,39,-10
23,20,46
48,0,101
73,-20,156
98,-39,212
74,-29,267
51,-20,322
28,-10,315
5,0,308
-18,10,300
-42,20,293
-65,29,107
-88,46,-78
-77,62,-264
-66,78,-280
-55,55,-297
-44,32,-313
-20,9,-330
5,-15,-347
29,13,-242
54,41,-137
78,68,83
103,33,303
127,-3,258
151,-39,212
145,-30,167
139,-21,122
133,-13,7
127,-4,-109
98,5,-225
70,-10,-265
41,-24,-306
12,-39,-347
-16,-54,-415
-45,-68,-483
-74,-106,-370
-103,-143,-256
-45,-181,-143
13,-88,-29
70,5,84
128,98,198
186,57,311
129,17,425
72,-23,363
15,-63,300
26,-3,238
37,57,176
49,117,55
-6,104,-65
-61,90,-186
-116,77,-143
-171,63,-101
-126,71,-59
-81,78,-83
-36,85,-107
9,93,65
54,87,238
15,81,410
-24,74,527
-63,68,645
-103,68,535
-142,68,426
-181,68,317
-66,68,107
49,48,-103
164,28,-313
278,8,-396
218,-12,-479
158,-32,-562
98,-52,-645
37,-72,-549
-23,-92,-454
-83,-112,-241
-2,-132,-28
80,-149,186
161,-167,186
132,-185,186
103,-202,186
73,-220,186
44,-177,186
15,-135,139
-15,-93,93
-44,-50,-81
-55,-8,-254
-67,34,-244
-78,-39,-234
-34,-112,-225
10,-186,-215
54,-167,-205
7,-148,-65
-41,-129,76
-88,-110,216
-76,-92,356
-64,-73,462
-53,-54,568
-41,-35,674
-29,-17,564
50,2,454
130,21,229
210,40,5
129,59,-32
47,47,-68
-34,36,-105
-119,24,-142
-203,58,-146
-288,92,-151
-254,125,-26
-220,159,99
-186,192,225
-107,226,183
-29,259,141
49,293,99
72,214,57
96,134,15
119,55,-104
143,-24,-223
166,-9,-342
151,7,-264
137,22,-186
122,38,-107
61,54,24
0,57,156
-61,61,288
-122,65,309
-108,68,330
-95,84,350
-81,99,371
-67,114,417
-54,129,464
-125,144,318
-195,160,173
-266,175,27
-337,190,-118
-261,205,-264
-186,166,-341
-110,127,-417
-34,88,-494
46,49,-571
125,10,-464
205,-29,-356
167,-68,-148
130,-107,61
92,-109,270
54,-110,479
17,-111,427
-21,-112,375
-59,-114,323
-64,-115,271
-70,-116,220
-75,-117,60
-81,-118,-99
-86,-120,-259
-92,-121,-283
-97,-122,-308
-103,-70,-332
-52,-18,-256
-2,34,-180
49,34,-104
45,34,-27
42,34,49
38,34,54
34,34,59
75,34,63
116,34,132
156,34,200
131,34,150
105,34,99
79,15,49
54,-5,61
8,-24,73
-37,-4,-3
-83,17,-80
-109,38,-156
-134,59,-88
-160,31,-20
-186,4,49
-184,-23,42
-183,-51,34
-182,-78,27
-181,-47,20
-135,-16,49
-88,15,78
-42,46,107
4,76,75
50,107,42
96,103,10
142,98,-98
188,94,-205
234,89,-168
184,85,-131
133,80,-94
82,75,-58
32,71,-21
-19,66,16
-70,62,53
-120,57,90
-171,52,127
-106,48,129
-42,43,132
23,39,28
88,34,-76
72,-51,-181
57,-137,-202
41,-103,-223
26,-68,-244
10,-34,-181
-5,0,-117
-21,34,-54
-36,-9,10
-52,-52,-29
-67,-95,-68
-83,-138,-107
-32,-181,-20
20,-225,68
71,-174,156
122,-124,244
56,-73,302
-10,-8,359
-76,57,416
-142,122,474
-98,106,334
-54,90,194
-10,73,54
34,153,-146
-37,233,-347
-109,313,-547
-181,256,-527
-140,200,-324
-99,144,-120
-58,88,83
-17,76,129
24,65,174
65,54,220
106,42,265
147,31,311
188,20,356
229,8,298
153,-3,239
76,-15,181
-1,9,122
-78,33,63
-76,56,5
-74,80,-54
-72,103,-72
-70,127,-90
-68,124,-107
-62,120,-124
-56,117,-140
-50,96,-156
-44,75,-156
39,54,-156
122,72,-156
205,90,-78
288,107,0
218,38,-49
148,-32,-98
78,-101,-39
0,-171,20
-78,-138,-86
-23,-106,-192
33,-73,-298
88,-92,-195
59,-110,-93
31,-129,10
2,-147,44
-26,-166,78
-55,-212,112
-83,-259,146
